"id","GV_CURBWGT","GV_DVLAT","GV_DVLONG","GV_ENERGY","GV_LANES","GV_MODELYR","GV_OTVEHWGT","GV_SPLIMIT","OA_AGE","OA_HEIGHT","OA_MAIS","OA_WEIGHT","VE_ORIGAVTW","VE_WHEELBAS","VE_PDOF_TR","GV_FOOTPRINT"
"1",2050,0,-16,172,4,2004,1630,45,65,183,0,107,158,287,115,4.5346
"2",1630,-17,-12,68,4,2005,2050,45,46,178,1,83,152,270,125,4.104
"3",1880,17,34,80,2,2007,1170,45,86,178,0,80,164,291,165,4.7724
"4",1310,3,-20,325,2,2005,1160,45,34,165,1,65,147,270,125,3.969
"5",1540,-2,-11,163,2,2007,1570,35,57,183,0,102,155,274,115,4.247
"6",1200,0,33,683,2,2004,2010,55,22,157,1,75,147,267,315,3.9249
"7",2400,0,-11,145,5,2003,1330,40,45,180,0,83,168,300,125,5.04
"8",1630,0,-44,2105,2,2002,2210,55,28,170,6,68,157,279,145,4.3803
"9",1840,6,-36,440,2,2005,1550,55,48,178,1,113,154,262,125,4.0348
"10",1420,-8,-46,2039,2,2003,1810,55,22,168,3,73,149,252,145,3.7548
"11",1810,6,-36,460,2,2003,1420,55,23,168,1,68,151,269,125,4.0619
"12",1490,0,-7,1612,2,2004,1590,45,45,180,1,73,153,262,125,4.0086
"13",1410,16,-6,143,2,2005,1970,40,38,168,0,79,156,272,135,4.2432
"14",1440,0,-10,77,2,2004,1220,55,18,170,1,64,148,262,135,3.8776
"15",1370,6,36,919,2,2004,2130,45,47,163,1,61,156,267,325,4.1652
"16",1580,0,-17,87,5,2004,1570,35,53,170,0,70,157,280,55,4.396
"17",1520,-14,-23,848,4,2007,1310,45,31,188,0,86,147,252,165,3.7044
"18",1310,23,-28,534,2,2002,1520,0,23,165,1,57,151,249,95,3.7599
"19",1530,-5,-15,286,2,2004,2060,55,21,191,1,127,155,272,155,4.216
"20",1190,0,11,125,2,2003,1220,55,60,183,0,93,145,253,315,3.6685
"21",2040,8,-3,111,4,2008,1220,30,59,170,0,54,157,278,135,4.3646
"22",1560,0,-18,246,2,2007,1520,0,47,157,1,64,155,266,135,4.123
"23",1520,-9,-16,251,2,2004,1560,40,28,155,0,50,154,262,165,4.0348
"24",1270,0,-17,101,2,2006,1390,45,66,168,1,67,150,270,135,4.05
"25",1100,7,-13,5203,1,2008,1700,40,50,198,0,122,148,255,125,3.774
"26",1900,-27,-5,879,1,2007,2370,30,34,185,1,77,160,304,315,4.864
"27",1840,19,34,88,2,2003,2100,30,45,160,1,77,164,299,175,4.9036
"28",1630,0,-25,181,3,2007,1360,50,29,183,0,96,151,276,135,4.1676
"29",1840,1,-7,68,2,2003,1740,30,23,178,0,68,164,299,65,4.9036
"30",1390,0,39,657,4,2005,1510,30,29,178,0,75,157,274,315,4.3018
"31",1510,0,-37,1032,4,2007,1390,30,38,170,2,64,154,285,135,4.389
"32",1940,0,9,79,3,2003,1490,50,42,157,0,74,162,303,315,4.9086
"33",1170,6,-17,116,2,2005,2190,30,68,160,0,90,150,267,115,4.005
"34",1730,0,-9,494,2,2007,1550,30,26,170,0,54,160,305,135,4.88
"35",1770,1,-32,103,1,2002,1390,30,18,155,0,54,139,288,65,4.0348
"36",1540,0,-4,184,4,2004,1680,30,63,165,1,64,150,285,185,4.275
"37",2010,10,-6,1074,1,2003,1280,30,87,185,0,86,170,269,135,4.573
"38",1140,10,17,161,3,2004,2130,35,39,178,2,75,146,260,345,3.796
"39",1210,-19,-13,149,2,2003,2580,30,22,168,0,77,153,260,195,3.978
"40",1660,3,12,781,4,2007,1440,30,30,175,1,86,163,286,315,4.6618
"41",1440,-2,-11,367,4,2007,1660,30,41,165,2,91,154,273,135,4.2042
"42",1920,-24,-28,1488,2,2005,1080,30,44,157,1,73,162,285,175,4.617
"43",1590,4,-10,106,3,2004,1370,30,31,175,0,76,154,262,115,4.0348
"44",1810,-6,-18,686,2,2005,1470,30,43,178,1,78,157,293,155,4.6001
"45",1900,-1,-3,286,2,2006,1910,30,64,165,0,118,162,290,135,4.698
"46",1400,0,-15,158,3,2006,2180,50,28,180,0,75,148,262,135,3.8776
"47",2100,-4,10,432,2,2009,1310,30,57,173,1,73,169,300,315,5.07
"48",2300,0,-16,369,4,2005,1740,30,19,157,1,47,163,300,115,4.89
"49",1210,-10,-11,171,2,2002,1460,30,26,180,1,68,145,256,175,3.712
"50",1900,9,-3,132,2,2004,1300,30,36,178,0,113,162,290,65,4.698
"51",2650,0,-20,254,2,2005,2010,30,33,188,1,118,168,330,95,5.544
"52",2030,17,-4,849,3,2004,1520,35,78,170,0,116,170,296,125,5.032
"53",2260,3,29,1237,2,2009,2210,30,39,170,0,68,165,293,315,4.8345
"54",1890,6,-10,142,2,2003,1450,30,33,170,1,59,161,289,105,4.656
"55",1860,-19,-3,483,4,2005,1130,40,30,170,0,68,155,289,215,4.4795
"56",2780,4,-15,723,2,2003,2540,45,48,180,1,145,173,357,135,6.1761
"57",1490,0,23,96,3,2007,2740,50,25,180,0,68,156,258,315,4.0248
"58",2740,0,-12,376,3,2003,1490,50,24,185,0,100,173,303,135,5.2419
"59",1410,0,-21,268,4,2003,2090,50,83,168,0,66,150,272,135,4.08
"60",1500,0,-33,682,1,2005,1430,35,66,180,1,108,157,276,135,4.3332
"61",1630,-6,-10,103,5,2008,1830,50,72,163,0,68,158,281,165,4.4398
"62",1460,-21,-12,204,2,2008,1970,35,19,160,0,84,148,262,195,3.8776
"63",1450,0,41,1424,2,2005,1450,45,19,163,1,61,148,272,315,4.0256
"64",1880,0,-15,581,2,2003,1040,40,60,188,1,122,167,338,125,5.6446
"65",2630,10,-17,733,2,2004,2530,25,35,178,0,86,166,330,75,5.478
"66",2100,-19,-15,187,3,2003,1610,40,32,193,0,84,158,287,135,4.5346
"67",1480,13,-23,314,2,2008,1590,40,76,157,1,50,157,278,105,4.3646
"68",1800,9,-24,603,2,2003,1410,45,48,163,1,77,149,320,115,4.768
"69",1150,0,-23,162,2,2003,1680,50,82,157,2,70,147,262,135,3.8514
"70",1450,13,-35,698,2,2002,1710,35,20,183,1,73,153,274,115,4.1922
"71",1710,-12,-33,1085,3,2006,1450,35,23,175,2,95,159,305,155,4.8495
"72",1130,7,-18,34,4,2003,1670,45,39,180,1,77,147,262,125,3.8514
"73",1490,23,-14,951,2,2004,1440,35,52,163,1,79,155,267,75,4.1385
"74",1600,0,32,398,4,2008,1740,45,26,165,0,50,156,261,315,4.0716
"75",1740,0,-31,973,4,2007,1600,45,61,163,1,54,161,302,135,4.8622
"76",1410,0,-7,45,2,2009,930,35,57,178,0,98,155,273,145,4.2315
"77",2050,3,-4,31,4,2004,1710,50,30,170,0,77,169,270,165,4.563
"78",1400,-22,-24,282,5,2008,1770,50,39,165,1,77,149,233,205,3.4717
"79",1410,-3,-15,198,5,2007,1360,50,52,178,0,82,157,272,145,4.2704
"80",1950,-9,-5,148,2,2008,1480,40,41,170,0,78,157,269,195,4.2233
"81",1580,9,-5,91,2,2008,1350,35,40,180,1,125,158,272,75,4.2976
"82",1220,11,-9,298,2,2003,1740,25,61,152,0,82,153,260,85,3.978
"83",1500,-10,-12,280,3,2006,1500,35,76,170,1,93,156,273,185,4.2588
"84",1500,3,-17,143,2,2009,1500,35,24,170,0,50,159,272,125,4.3248
"85",1330,17,-21,1043,2,2004,1060,50,62,163,0,75,152,260,95,3.952
"86",1570,-8,-9,445,2,2008,2080,40,47,173,0,118,156,262,125,4.0872
"87",2080,40,-3,290,2,2006,1570,35,68,152,0,52,158,287,65,4.5346
"88",1310,12,-2,59,2,2003,960,35,17,157,0,73,150,251,55,3.765
"89",1500,0,-11,123,2,2008,1950,40,21,170,1,66,158,277,145,4.3766
"90",1240,-5,-29,323,2,2007,1080,40,21,160,2,52,154,265,145,4.081
"91",1570,11,-60,3147,4,2006,1940,45,73,173,4,86,156,273,125,4.2588
"92",1940,-9,-48,1403,4,2007,1570,45,58,168,2,84,157,295,145,4.6315
"93",1200,5,-58,3932,2,2002,2140,25,18,178,2,88,147,261,55,3.8367
"94",1520,6,-2,145,4,2005,1140,40,22,180,0,50,155,272,65,4.216
