id,GV_CURBWGT,GV_DVLAT,GV_DVLONG,GV_ENERGY,GV_LANES,GV_MODELYR,GV_OTVEHWGT,GV_SPLIMIT,GV_WGTCDTR,OA_AGE,OA_BAGDEPLY,OA_HEIGHT,OA_MAIS,OA_SEX,OA_WEIGHT,VE_ORIGAVTW,VE_WHEELBAS,VE_PDOF_TR,GV_FOOTPRINT,Sample
1,s07_1935_2075,s14_13_17,s15_1_17,s04_230_290,4,2004,s07_1575_1695,s5_40_50,Truck (<=6000 lbs.),s07_60_70,Not Deployed,s4_180_up,0,Male,s3_100_130,s05_151_159,287,115,s2_4_5,1
79,s04_1335_1555,s11_n10_0,s13_n20_n6,s03_167_230,5,2007,s05_1335_1455,s6_50_60,Passenger Car,s06_50_60,Not Deployed,s3_170_180,0,Female,s2_70_100,s05_151_159,272,145,s2_4_5,1
177,s05_1555_1675,s10_n16_n10,s13_n20_n6,s02_113_167,2,2003,s05_1335_1455,s3_20_30,Passenger Car,s04_30_40,Not Deployed,s3_170_180,0,Male,s2_70_100,s05_151_159,287,195,s2_4_5,1
274,s04_1335_1555,s12_0_3,s13_n20_n6,s06_366_468,2,2008,s09_1855_2075,s6_50_60,Passenger Car,s03_20_30,Not Deployed,s1_below_165,0,Female,s1_below_70,s05_151_159,273,175,s2_4_5,1
367,s05_1555_1675,s13_3_13,s11_n38_n28,s07_468_577,3,2008,s01_below_780,s6_50_60,Passenger Car,s06_50_60,Deployed,s3_170_180,0,Male,s2_70_100,s04_145_151,285,65,s2_4_5,1
458,s06_1675_1935,s12_0_3,s13_n20_n6,s02_113_167,5,2004,s11_2255_2400,s5_40_50,Passenger Car,s03_20_30,Deployed,s3_170_180,0,Male,s1_below_70,s05_151_159,293,125,s2_4_5,1
550,s03_1035_1335,s09_n26_n16,s12_n28_n20,s01_below_113,6,2003,s09_1855_2075,s7_60_70,Passenger Car,s03_20_30,Not Deployed,s1_below_165,0,Male,s1_below_70,s04_145_151,261,185,s1_below_4,1
630,s04_1335_1555,s11_n10_0,s17_28_39,s10_877_1099,5,2005,s08_1695_1855,s5_40_50,Passenger Car,s05_40_50,Not Deployed,s1_below_165,0,Female,s1_below_70,s05_151_159,274,305,s2_4_5,1
710,s06_1675_1935,s13_3_13,s13_n20_n6,s04_230_290,4,2007,s07_1575_1695,s4_30_40,Truck (<=6000 lbs.),s05_40_50,Deployed,s2_165_170,0,Female,s1_below_70,s05_151_159,272,105,s2_4_5,1
819,s07_1935_2075,s13_3_13,s13_n20_n6,s07_468_577,2,2003,s06_1455_1575,s3_20_30,Truck (<=6000 lbs.),s05_40_50,Not Deployed,s1_below_165,0,Female,s2_70_100,s05_151_159,287,95,s2_4_5,1
