GV_CURBWGT,GV_DVLAT,GV_DVLONG,GV_ENERGY,GV_LANES,GV_MODELYR,GV_OTVEHWGT,GV_SPLIMIT,GV_WGTCDTR,OA_AGE,OA_BAGDEPLY,OA_HEIGHT,OA_MAIS,OA_SEX,OA_WEIGHT,VE_PDOF_TR,GV_FOOTPRINT
s07_1855_2075,s14_6_15,s17_7_15,s07_230_274,s4_3_4,s05_2003_2004,s05_1595_1775,s5_40_50,Truck (<=6000 lbs.),s07_60_70,Not Deployed,s3_175_up,0,Male,s10_104_up,s07_110_127,s2_3_4
s05_1475_1695,s12_n11_n2,s13_n20_n14,s03_105_131,s4_3_4,s06_2004_2005,s06_1775_2075,s5_40_50,Passenger Car,s05_40_50,Deployed,s3_175_up,1,Male,s07_82_86,s07_110_127,s2_3_4
s07_1855_2075,s12_n11_n2,s15_n6_0,s09_324_383,s2_1_2,s08_2006_2007,s03_1135_1355,s5_40_50,Passenger Car,s09_80_90,Not Deployed,s3_175_up,0,Male,s06_77_82,s10_162_180,s3_4_5
s04_1255_1475,s13_n2_6,s13_n20_n14,s09_324_383,s2_1_2,s06_2004_2005,s03_1135_1355,s5_40_50,Passenger Car,s04_30_40,Deployed,s2_165_175,1,Female,s03_61_66,s07_110_127,s2_3_4
s05_1475_1695,s13_n2_6,s13_n20_n14,s13_708_924,s2_1_2,s08_2006_2007,s04_1355_1595,s4_30_40,Passenger Car,s06_50_60,Not Deployed,s3_175_up,0,Female,s09_93_104,s07_110_127,s2_3_4
s03_1035_1255,s13_n2_6,s19_25_35,s12_562_708,s2_1_2,s05_2003_2004,s06_1775_2075,s6_50_60,Passenger Car,s03_20_30,Not Deployed,s1_below_165,1,Female,s05_73_77,s18_302_320,s2_3_4
s09_2255_2555,s13_n2_6,s14_n14_n6,s04_131_160,s5_4_5,s04_2002_2003,s03_1135_1355,s5_40_50,Truck (<=10000 lbs.),s05_40_50,Not Deployed,s2_165_175,0,Male,s07_82_86,s07_110_127,s3_4_5
s05_1475_1695,s12_n11_n2,s11_n40_n30,s15_1401_up,s2_1_2,s03_2001_2002,s06_1775_2075,s6_50_60,Passenger Car,s03_20_30,Deployed,s2_165_175,6,Male,s04_66_73,s09_145_162,s2_3_4
s06_1695_1855,s13_n2_6,s11_n40_n30,s10_383_461,s2_1_2,s06_2004_2005,s04_1355_1595,s6_50_60,Truck (<=6000 lbs.),s05_40_50,Deployed,s3_175_up,1,Male,s10_104_up,s07_110_127,s2_3_4
s04_1255_1475,s12_n11_n2,s10_n48_n40,s15_1401_up,s2_1_2,s04_2002_2003,s06_1775_2075,s6_50_60,Truck (<=6000 lbs.),s03_20_30,Deployed,s2_165_175,3,Female,s05_73_77,s09_145_162,s2_3_4
s06_1695_1855,s13_n2_6,s11_n40_n30,s10_383_461,s2_1_2,s04_2002_2003,s04_1355_1595,s6_50_60,Truck (<=6000 lbs.),s03_20_30,Deployed,s3_175_up,1,Male,s04_66_73,s07_110_127,s2_3_4
s05_1475_1695,s14_6_15,s15_n6_0,s08_274_324,s2_1_2,s05_2003_2004,s04_1355_1595,s5_40_50,Truck (<=6000 lbs.),s05_40_50,Deployed,s1_below_165,1,Female,s05_73_77,s07_110_127,s2_3_4
s04_1255_1475,s13_n2_6,s12_n30_n20,s15_1401_up,s2_1_2,s06_2004_2005,s04_1355_1595,s5_40_50,Passenger Car,s04_30_40,Deployed,s1_below_165,0,Female,s01_below_57,s08_127_145,s2_3_4
s04_1255_1475,s13_n2_6,s14_n14_n6,s01_below_79,s2_1_2,s05_2003_2004,s03_1135_1355,s6_50_60,Truck (<=6000 lbs.),s02_10_20,Deployed,s1_below_165,1,Female,s03_61_66,s08_127_145,s2_3_4
s04_1255_1475,s13_n2_6,s20_35_43,s13_708_924,s2_1_2,s05_2003_2004,s07_2075_2295,s5_40_50,Passenger Car,s05_40_50,Not Deployed,s1_below_165,1,Female,s03_61_66,s19_320_337,s2_3_4
s05_1475_1695,s13_n2_6,s14_n14_n6,s04_131_160,s5_4_5,s05_2003_2004,s04_1355_1595,s4_30_40,Passenger Car,s06_50_60,Not Deployed,s3_175_up,0,Male,s04_66_73,s06_92_110,s2_3_4
s05_1475_1695,s11_n21_n11,s12_n30_n20,s13_708_924,s4_3_4,s08_2006_2007,s03_1135_1355,s5_40_50,Passenger Car,s04_30_40,Deployed,s3_175_up,0,Male,s08_86_93,s10_162_180,s2_3_4
s04_1255_1475,s15_15_25,s12_n30_n20,s11_461_562,s2_1_2,s03_2001_2002,s04_1355_1595,s1_below_10,Truck (<=6000 lbs.),s03_20_30,Deployed,s2_165_175,1,Male,s02_57_61,s06_92_110,s2_3_4
