GV_CURBWGT,GV_DVLAT,GV_DVLONG,GV_ENERGY,GV_LANES,GV_MODELYR,GV_OTVEHWGT,GV_SPLIMIT,GV_WGTCDTR,OA_AGE,OA_BAGDEPLY,OA_HEIGHT,OA_MAIS,OA_MANUSE,OA_SEX,OA_WEIGHT,VE_GAD1,VE_ORIGAVTW,VE_WHEELBAS,VE_PDOF_TR,GV_FOOTPRINT
1910,-67,-57,9852,3,2004,2530,45,Truck (<=6000 lbs.),25,Not Deployed,163,6,1,Female,48,Right,153,265,185,4.0545
2640,13,-71,8695,2,2002,2910,55,Truck (<=10000 lbs.),52,Deployed,168,4,1,Female,67,Front,167,330,125,5.511
1620,-44,-75,8668,3,2003,1680,45,Truck (<=6000 lbs.),45,Deployed,165,3,0,Female,109,Right,150,262,165,3.93
1510,38,-103,7411,3,2001,2370,65,Passenger Car,81,Deployed,157,3,0,Female,75,Front,154,267,115,4.1118
1830,-13,-71,6684,2,2010,1320,30,Truck (<=6000 lbs.),53,Deployed,157,3,1,Female,99,Front,159,282,145,4.4838
1260,81,-47,6635,2,2004,1650,45,Passenger Car,22,Deployed,163,3,1,Female,61,Left,145,264,75,3.828
1500,-83,15,6282,2,2005,2290,35,Passenger Car,16,Not Deployed,160,6,1,Female,59,Right,157,276,235,4.3332
1260,-17,-97,6185,6,2008,1840,45,Passenger Car,25,Deployed,163,4,1,Female,54,Front,151,265,145,4.0015
1580,-82,-14,6108,2,2005,2330,45,Passenger Car,42,Deployed,168,2,1,Female,79,Right,157,272,215,4.2704
1520,0,-94,5666,2,2000,1710,60,Passenger Car,20,Deployed,163,5,1,Female,73,Front,157,277,135,4.3489
1180,0,-97,5529,2,2005,2060,40,Passenger Car,47,Deployed,160,5,1,Female,73,Front,147,260,135,3.822
1570,-58,-21,5506,4,2001,1530,55,Passenger Car,30,Not Deployed,170,2,1,Female,54,Right,158,287,205,4.5346
1710,0,-76,5320,3,2004,2470,50,Truck (<=6000 lbs.),51,Deployed,157,6,1,Female,69,Front,161,275,135,4.4275
2140,0,-60,5072,4,2005,1530,35,Truck (<=10000 lbs.),29,Deployed,173,3,0,Female,150,Front,166,364,135,6.0424
1320,-16,-87,4805,4,2007,2040,45,Passenger Car,23,Deployed,163,5,1,Female,73,Front,153,285,145,4.3605
2290,64,11,4478,2,2005,1900,25,Truck (<=6000 lbs.),64,Not Deployed,155,2,1,Female,93,Left,159,326,35,5.1834
2550,-34,-58,4257,2,2000,3090,55,Truck (<=6000 lbs.),56,Deployed,160,6,1,Female,82,Front,155,333,165,5.1615
1540,59,10,4147,2,2000,1640,55,Passenger Car,21,Not Deployed,173,4,1,Female,75,Left,156,281,35,4.3836
1190,-29,-79,4147,4,2001,1520,55,Passenger Car,22,Deployed,168,2,1,Female,54,Front,145,264,155,3.828
1740,10,-58,4147,6,2006,2020,45,Truck (<=6000 lbs.),43,Deployed,165,2,1,Female,100,Front,162,303,125,4.9086
1460,-39,-47,3969,3,2004,1450,55,Passenger Car,48,Deployed,165,5,0,Female,64,Right,153,269,175,4.1157
1360,-54,-19,3939,3,2002,1180,45,Passenger Car,23,Deployed,170,3,1,Female,78,Right,155,280,205,4.34
2040,12,-66,3929,4,2006,1410,45,Truck (<=6000 lbs.),48,Deployed,175,6,1,Female,87,Front,170,269,125,4.573
2400,0,-40,3828,2,2008,1290,30,Truck (<=10000 lbs.),35,Deployed,168,1,1,Female,64,Front,175,357,135,6.2475
1210,0,68,3814,2,2000,1100,55,Passenger Car,59,Deployed,157,1,1,Female,74,Rear,145,264,315,3.828
1660,0,-72,3811,2,2005,1615,40,Truck (<=6000 lbs.),47,Deployed,163,3,1,Female,100,Front,154,262,135,4.0348
1390,-39,-46,3796,3,2001,2160,60,Passenger Car,43,Deployed,168,6,0,Female,150,Front,150,272,175,4.08
1830,-38,-32,3744,3,2001,1490,45,Truck (<=6000 lbs.),24,Not Deployed,168,1,1,Female,104,Right,160,290,185,4.64
1280,-15,-86,3688,2,2008,1170,70,Passenger Car,37,Deployed,175,1,1,Female,61,Front,151,260,145,3.926
2110,22,-37,3638,5,2003,2130,35,Truck (<=10000 lbs.),48,Deployed,175,1,1,Female,150,Front,167,400,105,6.68
1750,0,-89,3555,3,2001,1260,70,Passenger Car,53,Deployed,170,4,1,Female,78,Front,154,291,135,4.4814
1830,55,-20,3456,2,2000,1730,45,Truck (<=6000 lbs.),32,Deployed,178,3,0,Female,136,Left,149,283,65,4.2167
1190,-34,-59,3444,4,2000,1640,50,Passenger Car,18,Deployed,170,3,1,Female,68,Front,145,264,165,3.828
1310,68,-12,3430,2,2002,1490,25,Passenger Car,50,Deployed,160,3,1,Female,45,Left,150,251,55,3.765
1680,46,-17,3393,2,2005,1520,30,Passenger Car,43,Not Deployed,170,5,1,Female,78,Left,158,276,65,4.3608
1930,45,8,3372,3,2001,1520,0,Truck (<=6000 lbs.),75,Deployed,150,1,1,Female,61,Left,168,300,35,5.04
1560,-32,-38,3366,2,2003,2020,25,Passenger Car,62,Deployed,170,4,1,Female,59,Right,154,272,175,4.1888
1870,-59,-22,3345,2,2004,2620,55,Truck (<=6000 lbs.),53,Deployed,160,3,1,Female,82,Right,160,284,205,4.544
1840,27,-47,3257,2,2000,1470,45,Truck (<=6000 lbs.),43,Deployed,165,3,1,Female,73,Front,161,353,105,5.6833
1910,-25,-42,3235,5,2002,2060,55,Truck (<=6000 lbs.),56,Deployed,170,1,1,Female,100,Front,162,303,165,4.9086
