id,GV_CURBWGT,GV_DVLAT,GV_DVLONG,GV_ENERGY,GV_LANES,GV_MODELYR,GV_OTVEHWGT,GV_SPLIMIT,GV_WGTCDTR,OA_AGE,OA_BAGDEPLY,OA_HEIGHT,OA_MAIS,OA_SEX,OA_WEIGHT,VE_ORIGAVTW,VE_WHEELBAS,VE_PDOF_TR,GV_FOOTPRINT
1,2050,15,9,268,4,2004,1630,45,Truck (<=6000 lbs.),65,Not Deployed,183,0,Male,107,158,287,115,4.5346
2,1630,-4,-15,114,4,2005,2050,45,Passenger Car,46,Deployed,178,1,Male,83,152,270,125,4.104
3,1880,-6,-6,325,2,2007,1170,45,Passenger Car,86,Not Deployed,178,0,Male,80,164,291,165,4.7724
4,1310,3,-20,325,2,2005,1160,45,Passenger Car,34,Deployed,170,1,Female,65,147,270,125,3.969
5,1540,4,-17,768,2,2007,1570,35,Passenger Car,57,Not Deployed,183,0,Female,102,155,274,115,4.247
6,1200,0,33,683,2,2004,2010,55,Passenger Car,22,Not Deployed,157,1,Female,75,147,267,315,3.9249
7,2400,0,-11,145,5,2003,1330,40,Truck (<=10000 lbs.),45,Not Deployed,170,0,Male,82,168,300,115,5.04
8,1630,-9,-38,4058,2,2002,2020,55,Passenger Car,28,Deployed,170,6,Male,68,157,279,145,4.3803
9,1840,6,-36,440,2,2005,1550,55,Truck (<=6000 lbs.),48,Deployed,178,1,Male,113,154,262,125,4.0348
10,1420,-8,-46,2039,2,2003,1810,55,Truck (<=6000 lbs.),22,Deployed,170,3,Female,73,149,252,145,3.7548
11,1810,6,-36,460,2,2003,1420,55,Truck (<=6000 lbs.),23,Deployed,178,1,Male,68,151,269,125,4.0619
12,1490,14,-4,280,2,2004,1590,45,Truck (<=6000 lbs.),45,Deployed,163,1,Female,73,153,262,125,4.0086
13,1410,1,-21,2256,2,2005,1380,40,Passenger Car,38,Deployed,160,0,Female,53,156,272,135,4.2432
14,1440,0,-10,77,2,2004,1220,55,Truck (<=6000 lbs.),18,Deployed,163,1,Female,64,148,262,135,3.8776
15,1370,6,36,919,2,2004,2130,45,Passenger Car,47,Not Deployed,163,1,Female,61,156,267,325,4.1652
16,1580,0,-7,131,5,2004,1570,35,Passenger Car,53,Not Deployed,178,0,Male,68,157,280,105,4.396
17,1520,-14,-23,848,4,2007,1310,45,Passenger Car,31,Deployed,188,0,Male,86,147,252,165,3.7044
18,1310,23,-28,534,2,2002,1520,0,Truck (<=6000 lbs.),23,Deployed,165,1,Male,57,151,249,95,3.7599
19,1530,-5,-15,286,2,2004,2060,55,Passenger Car,21,Deployed,165,1,Female,127,155,272,155,4.216
20,1190,0,11,125,2,2003,1220,55,Passenger Car,60,Not Deployed,183,0,Male,93,145,253,315,3.6685
21,2040,10,-8,380,4,2008,1220,30,Truck (<=6000 lbs.),59,Not Deployed,163,0,Female,48,157,278,135,4.3646
22,1560,0,-18,246,2,2007,1520,0,Truck (<=6000 lbs.),47,Not Deployed,157,1,Female,64,155,266,135,4.123
23,1520,-9,-16,251,2,2004,1560,40,Truck (<=6000 lbs.),28,Deployed,163,0,Female,118,154,262,165,4.0348
24,1270,0,-17,101,2,2006,1390,45,Passenger Car,66,Deployed,168,1,Female,67,150,270,135,4.05
25,1100,8,-12,128,1,2008,1700,40,Passenger Car,50,Not Deployed,173,0,Male,68,148,255,125,3.774
26,1900,-27,-5,879,1,2007,2370,30,Truck (<=6000 lbs.),34,Not Deployed,185,1,Male,77,160,304,315,4.864
27,1840,2,-5,786,2,2003,2100,30,Passenger Car,45,Not Deployed,160,1,Male,77,164,299,175,4.9036
28,1630,0,-25,181,3,2007,1360,50,Passenger Car,29,Deployed,178,0,Male,86,151,276,135,4.1676
29,1840,1,-7,68,2,2003,1740,30,Passenger Car,23,Not Deployed,178,0,Male,68,164,299,75,4.9036
30,1390,0,39,657,4,2005,1510,30,Passenger Car,29,Not Deployed,178,0,Male,75,157,274,315,4.3018
31,1510,0,-37,1032,4,2007,1390,30,Passenger Car,38,Deployed,170,2,Male,64,154,285,135,4.389
32,1940,0,9,79,3,2003,1490,50,Truck (<=6000 lbs.),42,Not Deployed,157,0,Female,74,162,303,315,4.9086
33,1170,6,-17,116,2,2005,2190,30,Passenger Car,68,Not Deployed,160,0,Female,90,150,267,115,4.005
34,1730,-3,-23,516,2,2007,1550,30,Passenger Car,26,Deployed,178,0,Male,86,160,305,135,4.88
35,1770,19,-21,127,1,2002,1390,30,Truck (<=6000 lbs.),18,Not Deployed,155,0,Female,54,145,288,65,4.1888
36,1540,-13,-10,565,4,2004,1680,30,Passenger Car,63,Not Deployed,165,1,Female,64,150,285,185,4.275
37,2010,0,-24,625,1,2003,1280,30,Truck (<=6000 lbs.),87,Not Deployed,185,0,Male,86,170,269,105,4.573
38,1140,10,17,161,3,2004,2130,35,Passenger Car,39,Not Deployed,178,2,Male,75,146,260,345,3.796
39,1210,-15,-36,735,2,2003,2580,30,Passenger Car,22,Deployed,185,0,Male,113,153,260,195,3.978
40,1660,0,28,236,4,2007,1440,30,Passenger Car,30,Not Deployed,188,1,Male,147,163,286,315,4.6618
41,1440,-8,-17,160,4,2007,1660,30,Passenger Car,41,Deployed,165,2,Female,64,154,273,135,4.2042
42,1920,-24,-28,1488,2,2005,1080,30,Truck (<=6000 lbs.),44,Deployed,157,1,Female,73,162,285,175,4.617
43,1590,4,-10,106,3,2004,1370,30,Truck (<=6000 lbs.),31,Deployed,183,0,Male,84,154,262,115,4.0348
44,1810,-6,-18,686,2,2005,1470,30,Passenger Car,43,Deployed,178,1,Male,78,157,293,155,4.6001
45,1900,5,-5,1044,2,2006,1910,30,Passenger Car,64,Not Deployed,165,0,Male,118,162,290,115,4.698
46,1400,-3,-23,137,3,2006,2180,50,Truck (<=6000 lbs.),28,Deployed,180,0,Male,75,148,262,135,3.8776
47,2100,0,14,1229,2,2009,1310,30,Truck (<=10000 lbs.),57,Not Deployed,173,1,Male,73,169,300,315,5.07
48,2300,2,-32,787,4,2005,1740,30,Truck (<=10000 lbs.),19,Deployed,157,1,Female,47,163,300,115,4.89
49,1210,-10,-11,171,2,2002,1460,30,Passenger Car,26,Not Deployed,163,1,Female,150,145,256,175,3.712
50,1900,9,-3,132,2,2004,1300,30,Passenger Car,36,Deployed,180,0,Male,86,162,290,65,4.698
51,2650,8,-20,1107,2,2005,2670,30,Truck (<=10000 lbs.),33,Deployed,188,1,Male,118,168,330,135,5.544
52,2030,0,-8,1654,3,2004,1050,35,Truck (<=6000 lbs.),78,Not Deployed,180,0,Male,102,170,296,125,5.032
53,2260,0,8,356,2,2009,2210,30,Truck (<=10000 lbs.),39,Not Deployed,170,0,Male,68,165,293,315,4.8345
54,1890,13,-58,340,2,2003,1450,30,Truck (<=6000 lbs.),33,Deployed,170,1,Female,64,159,289,5,4.59
55,1860,-19,-3,483,4,2005,1130,40,Truck (<=6000 lbs.),30,Not Deployed,198,0,Male,109,155,289,215,4.4795
56,2780,0,-13,403,2,2003,2540,45,Truck (<=10000 lbs.),48,Not Deployed,180,1,Male,145,173,357,65,6.1761
57,1490,0,23,96,3,2007,2740,50,Passenger Car,25,Not Deployed,160,0,Female,64,156,258,315,4.0248
58,2740,0,-12,376,3,2003,1490,50,Truck (<=10000 lbs.),24,Not Deployed,170,0,Male,82,173,303,135,5.2419
59,1410,0,-21,268,4,2003,2090,50,Passenger Car,83,Deployed,168,0,Male,66,150,272,135,4.08
60,1500,0,-33,682,1,2005,1550,35,Passenger Car,66,Deployed,180,1,Female,108,157,276,135,4.3332
61,1630,-6,-10,103,5,2008,1830,50,Passenger Car,72,Not Deployed,165,0,Female,68,158,281,165,4.4398
62,1460,-21,-12,204,2,2008,1970,35,Passenger Car,19,Deployed,173,0,Male,64,148,262,195,3.8776
63,1450,0,41,1424,2,2005,1450,45,Passenger Car,19,Not Deployed,163,1,Female,61,148,272,315,4.0256
64,1880,7,-17,324,2,2003,1040,40,Truck (<=10000 lbs.),60,Deployed,188,1,Male,122,167,338,125,5.6446
65,2630,10,-17,733,2,2004,2530,25,Truck (<=10000 lbs.),35,Not Deployed,178,0,Male,86,166,330,145,5.478
66,2100,0,-11,407,3,2003,1610,40,Truck (<=6000 lbs.),32,Not Deployed,193,0,Male,84,158,287,135,4.5346
67,1480,13,-23,314,2,2008,1590,40,Passenger Car,76,Deployed,157,1,Female,50,157,278,105,4.3646
68,1800,9,-24,603,2,2003,1410,45,Truck (<=6000 lbs.),48,Not Deployed,163,1,Female,77,149,320,115,4.768
69,1150,0,-23,162,2,2003,1680,50,Passenger Car,82,Not Deployed,157,2,Female,70,147,262,135,3.8514
70,1450,13,-35,698,2,2002,1710,35,Passenger Car,20,Deployed,183,1,Male,73,153,274,115,4.1922
71,1710,-12,-33,1085,3,2006,1450,35,Passenger Car,23,Deployed,175,2,Male,95,159,305,155,4.8495
72,1130,5,-17,419,4,2003,1670,45,Passenger Car,39,Not Deployed,168,1,Female,48,147,262,125,3.8514
73,1490,23,-14,951,2,2004,1440,35,Passenger Car,52,Not Deployed,160,1,Female,73,155,267,75,4.1385
74,1600,0,32,398,4,2008,1740,45,Truck (<=6000 lbs.),26,Not Deployed,165,0,Female,90,156,261,315,4.0716
75,1740,0,-31,973,4,2007,1600,45,Truck (<=6000 lbs.),61,Deployed,163,1,Female,54,161,302,135,4.8622
76,1410,0,-7,45,2,2009,930,35,Passenger Car,57,Not Deployed,178,0,Male,98,155,273,135,4.2315
